playerID,awardID,yearID,lgID,tie,notes
clarkfr01,Baseball Magazine All-Star,1909,ML,MISSING,LF
mathech01,Baseball Magazine All-Star,1909,ML,MISSING,P1
walshed01,Baseball Magazine All-Star,1909,ML,MISSING,P2
brownmo01,Baseball Magazine All-Star,1909,ML,MISSING,P3
adamsba01,Baseball Magazine All-Star,1909,ML,MISSING,P4
planked01,Baseball Magazine All-Star,1909,ML,MISSING,P5
johnswa01,Baseball Magazine All-Star,1909,ML,MISSING,P6
cobbty01,Baseball Magazine All-Star,1909,ML,MISSING,RF
wagneho01,Baseball Magazine All-Star,1909,ML,MISSING,SS
chancfr01,Baseball Magazine All-Star,1909,NL,MISSING,1B
eversjo01,Baseball Magazine All-Star,1909,NL,MISSING,2B
devliar01,Baseball Magazine All-Star,1909,NL,MISSING,3B
klingjo01,Baseball Magazine All-Star,1909,NL,MISSING,C1
gibsoge01,Baseball Magazine All-Star,1909,NL,MISSING,C2
bresnro01,Baseball Magazine All-Star,1909,NL,MISSING,C3
leachto01,Baseball Magazine All-Star,1909,NL,MISSING,CF
clarkfr01,Baseball Magazine All-Star,1909,NL,MISSING,LF
mathech01,Baseball Magazine All-Star,1909,NL,MISSING,P1
brownmo01,Baseball Magazine All-Star,1909,NL,MISSING,P2
reulbed01,Baseball Magazine All-Star,1909,NL,MISSING,P3
camniho01,Baseball Magazine All-Star,1909,NL,MISSING,P4
adamsba01,Baseball Magazine All-Star,1909,NL,MISSING,P5
hofmaso01,Baseball Magazine All-Star,1909,NL,MISSING,RF
wagneho01,Baseball Magazine All-Star,1909,NL,MISSING,SS
cobbty01,Triple Crown,1909,AL,MISSING,MISSING
chaseha01,Baseball Magazine All-Star,1910,AL,MISSING,1B
lajoina01,Baseball Magazine All-Star,1910,AL,MISSING,2B
lordha01,Baseball Magazine All-Star,1910,AL,MISSING,3B
thomair01,Baseball Magazine All-Star,1910,AL,MISSING,C1
sweened01,Baseball Magazine All-Star,1910,AL,MISSING,C2
speaktr01,Baseball Magazine All-Star,1910,AL,MISSING,CF
stonege01,Baseball Magazine All-Star,1910,AL,MISSING,LF
walshed01,Baseball Magazine All-Star,1910,AL,MISSING,P1
coombja01,Baseball Magazine All-Star,1910,AL,MISSING,P2
bendech01,Baseball Magazine All-Star,1910,AL,MISSING,P3
cobbty01,Baseball Magazine All-Star,1910,AL,MISSING,RF
wallabo01,Baseball Magazine All-Star,1910,AL,MISSING,SS
chaseha01,Baseball Magazine All-Star,1910,ML,MISSING,1B
lajoina01,Baseball Magazine All-Star,1910,ML,MISSING,2B
devliar01,Baseball Magazine All-Star,1910,ML,MISSING,3B
gibsoge01,Baseball Magazine All-Star,1910,ML,MISSING,C1
archeji01,Baseball Magazine All-Star,1910,ML,MISSING,C2
speaktr01,Baseball Magazine All-Star,1910,ML,MISSING,CF
mageesh01,Baseball Magazine All-Star,1910,ML,MISSING,LF
walshed01,Baseball Magazine All-Star,1910,ML,MISSING,P1
mathech01,Baseball Magazine All-Star,1910,ML,MISSING,P2
coombja01,Baseball Magazine All-Star,1910,ML,MISSING,P3
bendech01,Baseball Magazine All-Star,1910,ML,MISSING,P4
johnswa01,Baseball Magazine All-Star,1910,ML,MISSING,P5
cobbty01,Baseball Magazine All-Star,1910,ML,MISSING,RF
wagneho01,Baseball Magazine All-Star,1910,ML,MISSING,SS
chancfr01,Baseball Magazine All-Star,1910,NL,MISSING,1B
eversjo01,Baseball Magazine All-Star,1910,NL,MISSING,2B
devliar01,Baseball Magazine All-Star,1910,NL,MISSING,3B
gibsoge01,Baseball Magazine All-Star,1910,NL,MISSING,C1
archeji01,Baseball Magazine All-Star,1910,NL,MISSING,C2
leachto01,Baseball Magazine All-Star,1910,NL,MISSING,CF
mageesh01,Baseball Magazine All-Star,1910,NL,MISSING,LF
mathech01,Baseball Magazine All-Star,1910,NL,MISSING,P1
ruckena01,Baseball Magazine All-Star,1910,NL,MISSING,P2
coleki01,Baseball Magazine All-Star,1910,NL,MISSING,P3
schulfr01,Baseball Magazine All-Star,1910,NL,MISSING,RF
wagneho01,Baseball Magazine All-Star,1910,NL,MISSING,SS
chaseha01,Baseball Magazine All-Star,1911,AL,MISSING,1B
collied01,Baseball Magazine All-Star,1911,AL,MISSING,2B
bakerfr01,Baseball Magazine All-Star,1911,AL,MISSING,3B
thomair01,Baseball Magazine All-Star,1911,AL,MISSING,C1
carribi02,Baseball Magazine All-Star,1911,AL,MISSING,C2
stanaos01,Baseball Magazine All-Star,1911,AL,MISSING,C3
cobbty01,Baseball Magazine All-Star,1911,AL,MISSING,CF
crawfsa01,Baseball Magazine All-Star,1911,AL,MISSING,LF
johnswa01,Baseball Magazine All-Star,1911,AL,MISSING,P1
walshed01,Baseball Magazine All-Star,1911,AL,MISSING,P2
greggve01,Baseball Magazine All-Star,1911,AL,MISSING,P3
bendech01,Baseball Magazine All-Star,1911,AL,MISSING,P4
coombja01,Baseball Magazine All-Star,1911,AL,MISSING,P5
jacksjo01,Baseball Magazine All-Star,1911,AL,MISSING,RF
bushdo01,Baseball Magazine All-Star,1911,AL,MISSING,SS
chaseha01,Baseball Magazine All-Star,1911,ML,MISSING,1B
collied01,Baseball Magazine All-Star,1911,ML,MISSING,2B
bakerfr01,Baseball Magazine All-Star,1911,ML,MISSING,3B
bresnro01,Baseball Magazine All-Star,1911,ML,MISSING,C1
dooinre01,Baseball Magazine All-Star,1911,ML,MISSING,C2
meyerch01,Baseball Magazine All-Star,1911,ML,MISSING,C3
thomair01,Baseball Magazine All-Star,1911,ML,MISSING,C4
cobbty01,Baseball Magazine All-Star,1911,ML,MISSING,CF
clarkfr01,Baseball Magazine All-Star,1911,ML,MISSING,LF
johnswa01,Baseball Magazine All-Star,1911,ML,MISSING,P2
mathech01,Baseball Magazine All-Star,1911,ML,MISSING,P2
alexape01,Baseball Magazine All-Star,1911,ML,MISSING,P3
greggve01,Baseball Magazine All-Star,1911,ML,MISSING,P4
ruckena01,Baseball Magazine All-Star,1911,ML,MISSING,P5
walshed01,Baseball Magazine All-Star,1911,ML,MISSING,P6
jacksjo01,Baseball Magazine All-Star,1911,ML,MISSING,RF
wagneho01,Baseball Magazine All-Star,1911,ML,MISSING,SS
daubeja01,Baseball Magazine All-Star,1911,NL,MISSING,1B
doylela01,Baseball Magazine All-Star,1911,NL,MISSING,2B
loberha01,Baseball Magazine All-Star,1911,NL,MISSING,3B
bresnro01,Baseball Magazine All-Star,1911,NL,MISSING,C1
dooinre01,Baseball Magazine All-Star,1911,NL,MISSING,C2
meyerch01,Baseball Magazine All-Star,1911,NL,MISSING,C3
archeji01,Baseball Magazine All-Star,1911,NL,MISSING,C4
donlimi01,Baseball Magazine All-Star,1911,NL,MISSING,CF
clarkfr01,Baseball Magazine All-Star,1911,NL,MISSING,LF
mathech01,Baseball Magazine All-Star,1911,NL,MISSING,P1
marquru01,Baseball Magazine All-Star,1911,NL,MISSING,P2
alexape01,Baseball Magazine All-Star,1911,NL,MISSING,P3
ruckena01,Baseball Magazine All-Star,1911,NL,MISSING,P4
schulfr01,Baseball Magazine All-Star,1911,NL,MISSING,RF
wagneho01,Baseball Magazine All-Star,1911,NL,MISSING,SS
cobbty01,Most Valuable Player,1911,AL,MISSING,MISSING
schulfr01,Most Valuable Player,1911,NL,MISSING,MISSING
mcinnst01,Baseball Magazine All-Star,1912,AL,MISSING,1B
collied01,Baseball Magazine All-Star,1912,AL,MISSING,2B
gardnla01,Baseball Magazine All-Star,1912,AL,MISSING,3B
stanaos01,Baseball Magazine All-Star,1912,AL,MISSING,C1
ainsmed01,Baseball Magazine All-Star,1912,AL,MISSING,C2
cobbty01,Baseball Magazine All-Star,1912,AL,MISSING,OF
jacksjo01,Baseball Magazine All-Star,1912,AL,MISSING,OF
speaktr01,Baseball Magazine All-Star,1912,AL,MISSING,OF
johnswa01,Baseball Magazine All-Star,1912,AL,MISSING,P1
woodjo02,Baseball Magazine All-Star,1912,AL,MISSING,P2
planked01,Baseball Magazine All-Star,1912,AL,MISSING,P3
wagnehe01,Baseball Magazine All-Star,1912,AL,MISSING,SS
daubeja01,Baseball Magazine All-Star,1912,ML,MISSING,1B
eversjo01,Baseball Magazine All-Star,1912,ML,MISSING,2B
zimmehe01,Baseball Magazine All-Star,1912,ML,MISSING,3B
archeji01,Baseball Magazine All-Star,1912,ML,MISSING,C1
meyerch01,Baseball Magazine All-Star,1912,ML,MISSING,C2
cobbty01,Baseball Magazine All-Star,1912,ML,MISSING,OF
jacksjo01,Baseball Magazine All-Star,1912,ML,MISSING,OF
speaktr01,Baseball Magazine All-Star,1912,ML,MISSING,OF
johnswa01,Baseball Magazine All-Star,1912,ML,MISSING,P1
woodjo02,Baseball Magazine All-Star,1912,ML,MISSING,P1
ruckena01,Baseball Magazine All-Star,1912,ML,MISSING,P2
wagneho01,Baseball Magazine All-Star,1912,ML,MISSING,SS
daubeja01,Baseball Magazine All-Star,1912,NL,MISSING,1B
eversjo01,Baseball Magazine All-Star,1912,NL,MISSING,2B
zimmehe01,Baseball Magazine All-Star,1912,NL,MISSING,3B
archeji01,Baseball Magazine All-Star,1912,NL,MISSING,C1
meyerch01,Baseball Magazine All-Star,1912,NL,MISSING,C2
mageesh01,Baseball Magazine All-Star,1912,NL,MISSING,OF
paskedo01,Baseball Magazine All-Star,1912,NL,MISSING,OF
wilsoch01,Baseball Magazine All-Star,1912,NL,MISSING,OF
tesreje01,Baseball Magazine All-Star,1912,NL,MISSING,P1
mathech01,Baseball Magazine All-Star,1912,NL,MISSING,P2
ruckena01,Baseball Magazine All-Star,1912,NL,MISSING,P3
wagneho01,Baseball Magazine All-Star,1912,NL,MISSING,SS
speaktr01,Most Valuable Player,1912,AL,MISSING,MISSING
doylela01,Most Valuable Player,1912,NL,MISSING,MISSING
mcinnst01,Baseball Magazine All-Star,1913,AL,MISSING,1B
collied01,Baseball Magazine All-Star,1913,AL,MISSING,2B
bakerfr01,Baseball Magazine All-Star,1913,AL,MISSING,3B
schanwa01,Baseball Magazine All-Star,1913,AL,MISSING,C
cobbty01,Baseball Magazine All-Star,1913,AL,MISSING,OF
jacksjo01,Baseball Magazine All-Star,1913,AL,MISSING,OF
speaktr01,Baseball Magazine All-Star,1913,AL,MISSING,OF
johnswa01,Baseball Magazine All-Star,1913,AL,MISSING,P1
falkecy01,Baseball Magazine All-Star,1913,AL,MISSING,P2
barryja01,Baseball Magazine All-Star,1913,AL,MISSING,SS
daubeja01,Baseball Magazine All-Star,1913,ML,MISSING,1B
collied01,Baseball Magazine All-Star,1913,ML,MISSING,2B
bakerfr01,Baseball Magazine All-Star,1913,ML,MISSING,3B
archeji01,Baseball Magazine All-Star,1913,ML,MISSING,C
cobbty01,Baseball Magazine All-Star,1913,ML,MISSING,OF
jacksjo01,Baseball Magazine All-Star,1913,ML,MISSING,OF
speaktr01,Baseball Magazine All-Star,1913,ML,MISSING,OF
johnswa01,Baseball Magazine All-Star,1913,ML,MISSING,P1
mathech01,Baseball Magazine All-Star,1913,ML,MISSING,P2
wagneho01,Baseball Magazine All-Star,1913,ML,MISSING,SS
daubeja01,Baseball Magazine All-Star,1913,NL,MISSING,1B
vioxji01,Baseball Magazine All-Star,1913,NL,MISSING,2B
zimmehe01,Baseball Magazine All-Star,1913,NL,MISSING,3B
archeji01,Baseball Magazine All-Star,1913,NL,MISSING,C
cravaga01,Baseball Magazine All-Star,1913,NL,MISSING,OF
leachto01,Baseball Magazine All-Star,1913,NL,MISSING,OF
wheatza01,Baseball Magazine All-Star,1913,NL,MISSING,OF
mathech01,Baseball Magazine All-Star,1913,NL,MISSING,P1
alexape01,Baseball Magazine All-Star,1913,NL,MISSING,P2
wagneho01,Baseball Magazine All-Star,1913,NL,MISSING,SS
johnswa01,Most Valuable Player,1913,AL,MISSING,MISSING
daubeja01,Most Valuable Player,1913,NL,MISSING,MISSING
johnswa01,Pitching Triple Crown,1913,AL,MISSING,MISSING
mcinnst01,Baseball Magazine All-Star,1914,AL,MISSING,1B
collied01,Baseball Magazine All-Star,1914,AL,MISSING,2B
bakerfr01,Baseball Magazine All-Star,1914,AL,MISSING,3B
schanwa01,Baseball Magazine All-Star,1914,AL,MISSING,C1
schalra01,Baseball Magazine All-Star,1914,AL,MISSING,C2
cobbty01,Baseball Magazine All-Star,1914,AL,MISSING,OF
jacksjo01,Baseball Magazine All-Star,1914,AL,MISSING,OF
speaktr01,Baseball Magazine All-Star,1914,AL,MISSING,OF
johnswa01,Baseball Magazine All-Star,1914,AL,MISSING,P1
leonadu01,Baseball Magazine All-Star,1914,AL,MISSING,P2
planked01,Baseball Magazine All-Star,1914,AL,MISSING,P3
barryja01,Baseball Magazine All-Star,1914,AL,MISSING,SS
daubeja01,Baseball Magazine All-Star,1914,ML,MISSING,1B
collied01,Baseball Magazine All-Star,1914,ML,MISSING,2B
bakerfr01,Baseball Magazine All-Star,1914,ML,MISSING,3B
archeji01,Baseball Magazine All-Star,1914,ML,MISSING,C1
schanwa01,Baseball Magazine All-Star,1914,ML,MISSING,C2
cobbty01,Baseball Magazine All-Star,1914,ML,MISSING,OF
jacksjo01,Baseball Magazine All-Star,1914,ML,MISSING,OF
speaktr01,Baseball Magazine All-Star,1914,ML,MISSING,OF
alexape01,Baseball Magazine All-Star,1914,ML,MISSING,P1
mathech01,Baseball Magazine All-Star,1914,ML,MISSING,P2
johnswa01,Baseball Magazine All-Star,1914,ML,MISSING,P3
maranra01,Baseball Magazine All-Star,1914,ML,MISSING,SS
daubeja01,Baseball Magazine All-Star,1914,NL,MISSING,1B
eversjo01,Baseball Magazine All-Star,1914,NL,MISSING,2B
loberha01,Baseball Magazine All-Star,1914,NL,MISSING,3B
archeji01,Baseball Magazine All-Star,1914,NL,MISSING,C1
wingoiv01,Baseball Magazine All-Star,1914,NL,MISSING,C2
burnsge01,Baseball Magazine All-Star,1914,NL,MISSING,OF
mageesh01,Baseball Magazine All-Star,1914,NL,MISSING,OF
wheatza01,Baseball Magazine All-Star,1914,NL,MISSING,OF
alexape01,Baseball Magazine All-Star,1914,NL,MISSING,P1
mathech01,Baseball Magazine All-Star,1914,NL,MISSING,P2
jamesbi02,Baseball Magazine All-Star,1914,NL,MISSING,P3
maranra01,Baseball Magazine All-Star,1914,NL,MISSING,SS
collied01,Most Valuable Player,1914,AL,MISSING,MISSING
eversjo01,Most Valuable Player,1914,NL,MISSING,MISSING
mcinnst01,Baseball Magazine All-Star,1915,AL,MISSING,1B
collied01,Baseball Magazine All-Star,1915,AL,MISSING,2B
maisefr01,Baseball Magazine All-Star,1915,AL,MISSING,3B
schalra01,Baseball Magazine All-Star,1915,AL,MISSING,C
speaktr01,Baseball Magazine All-Star,1915,AL,MISSING,CF
cobbty01,Baseball Magazine All-Star,1915,AL,MISSING,LF
johnswa01,Baseball Magazine All-Star,1915,AL,MISSING,P1
scottji01,Baseball Magazine All-Star,1915,AL,MISSING,P2
crawfsa01,Baseball Magazine All-Star,1915,AL,MISSING,RF
bushdo01,Baseball Magazine All-Star,1915,AL,MISSING,SS
mcinnst01,Baseball Magazine All-Star,1915,ML,MISSING,1B
collied01,Baseball Magazine All-Star,1915,ML,MISSING,2B
grohhe01,Baseball Magazine All-Star,1915,ML,MISSING,3B
snydefr01,Baseball Magazine All-Star,1915,ML,MISSING,C
speaktr01,Baseball Magazine All-Star,1915,ML,MISSING,CF
cobbty01,Baseball Magazine All-Star,1915,ML,MISSING,LF
alexape01,Baseball Magazine All-Star,1915,ML,MISSING,P1
johnswa01,Baseball Magazine All-Star,1915,ML,MISSING,P2
crawfsa01,Baseball Magazine All-Star,1915,ML,MISSING,RF
bancrda01,Baseball Magazine All-Star,1915,ML,MISSING,SS
saiervi01,Baseball Magazine All-Star,1915,NL,MISSING,1B
doylela01,Baseball Magazine All-Star,1915,NL,MISSING,2B
grohhe01,Baseball Magazine All-Star,1915,NL,MISSING,3B
snydefr01,Baseball Magazine All-Star,1915,NL,MISSING,C
willicy01,Baseball Magazine All-Star,1915,NL,MISSING,CF
wheatza01,Baseball Magazine All-Star,1915,NL,MISSING,LF
alexape01,Baseball Magazine All-Star,1915,NL,MISSING,P1
mamaual01,Baseball Magazine All-Star,1915,NL,MISSING,P2
cravaga01,Baseball Magazine All-Star,1915,NL,MISSING,RF
bancrda01,Baseball Magazine All-Star,1915,NL,MISSING,SS
alexape01,Pitching Triple Crown,1915,NL,MISSING,MISSING
sislege01,Baseball Magazine All-Star,1916,AL,MISSING,1B
collied01,Baseball Magazine All-Star,1916,AL,MISSING,2B
gardnla01,Baseball Magazine All-Star,1916,AL,MISSING,3B
schalra01,Baseball Magazine All-Star,1916,AL,MISSING,C
cobbty01,Baseball Magazine All-Star,1916,AL,MISSING,OF
jacksjo01,Baseball Magazine All-Star,1916,AL,MISSING,OF
speaktr01,Baseball Magazine All-Star,1916,AL,MISSING,OF
johnswa01,Baseball Magazine All-Star,1916,AL,MISSING,P1
ruthba01,Baseball Magazine All-Star,1916,AL,MISSING,P2
bushdo01,Baseball Magazine All-Star,1916,AL,MISSING,SS
daubeja01,Baseball Magazine All-Star,1916,ML,MISSING,1B
collied01,Baseball Magazine All-Star,1916,ML,MISSING,2B
gardnla01,Baseball Magazine All-Star,1916,ML,MISSING,3B
schalra01,Baseball Magazine All-Star,1916,ML,MISSING,C
cobbty01,Baseball Magazine All-Star,1916,ML,MISSING,OF
jacksjo01,Baseball Magazine All-Star,1916,ML,MISSING,OF
speaktr01,Baseball Magazine All-Star,1916,ML,MISSING,OF
alexape01,Baseball Magazine All-Star,1916,ML,MISSING,P1
johnswa01,Baseball Magazine All-Star,1916,ML,MISSING,P2
maranra01,Baseball Magazine All-Star,1916,ML,MISSING,SS
daubeja01,Baseball Magazine All-Star,1916,NL,MISSING,1B
herzobu01,Baseball Magazine All-Star,1916,NL,MISSING,2B
hornsro01,Baseball Magazine All-Star,1916,NL,MISSING,3B
gowdyha01,Baseball Magazine All-Star,1916,NL,MISSING,C
roberda01,Baseball Magazine All-Star,1916,NL,MISSING,OF
wheatza01,Baseball Magazine All-Star,1916,NL,MISSING,OF
willicy01,Baseball Magazine All-Star,1916,NL,MISSING,OF
alexape01,Baseball Magazine All-Star,1916,NL,MISSING,P1
mamaual01,Baseball Magazine All-Star,1916,NL,MISSING,P2
maranra01,Baseball Magazine All-Star,1916,NL,MISSING,SS
alexape01,Pitching Triple Crown,1916,NL,MISSING,MISSING
sislege01,Baseball Magazine All-Star,1917,AL,MISSING,1B
collied01,Baseball Magazine All-Star,1917,AL,MISSING,2B
weavebu01,Baseball Magazine All-Star,1917,AL,MISSING,3B
schalra01,Baseball Magazine All-Star,1917,AL,MISSING,C
cobbty01,Baseball Magazine All-Star,1917,AL,MISSING,OF
felscha01,Baseball Magazine All-Star,1917,AL,MISSING,OF
speaktr01,Baseball Magazine All-Star,1917,AL,MISSING,OF
johnswa01,Baseball Magazine All-Star,1917,AL,MISSING,P1
cicoted01,Baseball Magazine All-Star,1917,AL,MISSING,P2
chapmra01,Baseball Magazine All-Star,1917,AL,MISSING,SS
sislege01,Baseball Magazine All-Star,1917,ML,MISSING,1B
collied01,Baseball Magazine All-Star,1917,ML,MISSING,2B
zimmehe01,Baseball Magazine All-Star,1917,ML,MISSING,3B
killebi01,Baseball Magazine All-Star,1917,ML,MISSING,C
cobbty01,Baseball Magazine All-Star,1917,ML,MISSING,OF
roushed01,Baseball Magazine All-Star,1917,ML,MISSING,OF
speaktr01,Baseball Magazine All-Star,1917,ML,MISSING,OF
alexape01,Baseball Magazine All-Star,1917,ML,MISSING,P1
johnswa01,Baseball Magazine All-Star,1917,ML,MISSING,P2
chapmra01,Baseball Magazine All-Star,1917,ML,MISSING,SS
chaseha01,Baseball Magazine All-Star,1917,NL,MISSING,1B
herzobu01,Baseball Magazine All-Star,1917,NL,MISSING,2B
zimmehe01,Baseball Magazine All-Star,1917,NL,MISSING,3B
killebi01,Baseball Magazine All-Star,1917,NL,MISSING,C
burnsge01,Baseball Magazine All-Star,1917,NL,MISSING,OF
careyma01,Baseball Magazine All-Star,1917,NL,MISSING,OF
roushed01,Baseball Magazine All-Star,1917,NL,MISSING,OF
alexape01,Baseball Magazine All-Star,1917,NL,MISSING,P1
coopewi01,Baseball Magazine All-Star,1917,NL,MISSING,P2
maranra01,Baseball Magazine All-Star,1917,NL,MISSING,SS
sislege01,Baseball Magazine All-Star,1918,AL,MISSING,1B
collied01,Baseball Magazine All-Star,1918,AL,MISSING,2B
bakerfr01,Baseball Magazine All-Star,1918,AL,MISSING,3B
oneilst01,Baseball Magazine All-Star,1918,AL,MISSING,C
cobbty01,Baseball Magazine All-Star,1918,AL,MISSING,OF
hoopeha01,Baseball Magazine All-Star,1918,AL,MISSING,OF
speaktr01,Baseball Magazine All-Star,1918,AL,MISSING,OF
ruthba01,Baseball Magazine All-Star,1918,AL,MISSING,P1
johnswa01,Baseball Magazine All-Star,1918,AL,MISSING,P2
chapmra01,Baseball Magazine All-Star,1918,AL,MISSING,SS
sislege01,Baseball Magazine All-Star,1918,ML,MISSING,1B
collied01,Baseball Magazine All-Star,1918,ML,MISSING,2B
grohhe01,Baseball Magazine All-Star,1918,ML,MISSING,3B
killebi01,Baseball Magazine All-Star,1918,ML,MISSING,C
cobbty01,Baseball Magazine All-Star,1918,ML,MISSING,OF
roushed01,Baseball Magazine All-Star,1918,ML,MISSING,OF
speaktr01,Baseball Magazine All-Star,1918,ML,MISSING,OF
ruthba01,Baseball Magazine All-Star,1918,ML,MISSING,P1
johnswa01,Baseball Magazine All-Star,1918,ML,MISSING,P2
vaughhi01,Baseball Magazine All-Star,1918,ML,MISSING,P3
holloch01,Baseball Magazine All-Star,1918,ML,MISSING,SS
daubeja01,Baseball Magazine All-Star,1918,NL,MISSING,1B
cutshge01,Baseball Magazine All-Star,1918,NL,MISSING,2B
grohhe01,Baseball Magazine All-Star,1918,NL,MISSING,3B
killebi01,Baseball Magazine All-Star,1918,NL,MISSING,C
burnsge01,Baseball Magazine All-Star,1918,NL,MISSING,OF
roushed01,Baseball Magazine All-Star,1918,NL,MISSING,OF
wheatza01,Baseball Magazine All-Star,1918,NL,MISSING,OF
vaughhi01,Baseball Magazine All-Star,1918,NL,MISSING,P1
grimebu01,Baseball Magazine All-Star,1918,NL,MISSING,P2
holloch01,Baseball Magazine All-Star,1918,NL,MISSING,SS
johnswa01,Pitching Triple Crown,1918,AL,MISSING,MISSING
vaughhi01,Pitching Triple Crown,1918,NL,MISSING,MISSING
sislege01,Baseball Magazine All-Star,1919,AL,MISSING,1B
collied01,Baseball Magazine All-Star,1919,AL,MISSING,2B
weavebu01,Baseball Magazine All-Star,1919,AL,MISSING,3B
oneilst01,Baseball Magazine All-Star,1919,AL,MISSING,C
